image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
44260,evaluation,quadrants,bottom_left,-0.0435413122177124,0.02072042226791382,0.21372395753860474,bright,False
44260,evaluation,quadrants,bottom_right,-0.0006879866123199463,-0.042662397027015686,0.0,dark,False
44260,evaluation,smooth_gradient,full,-0.05519817769527435,-0.041284382343292236,0.025991857051849365,bright,False
44260,evaluation,smooth_gradient,top_left,-0.011316463351249695,-0.026043057441711426,0.0,dark,False
44260,evaluation,smooth_gradient,top_right,-0.07255266606807709,-0.049358874559402466,0.052135203033685684,bright,False
44260,evaluation,smooth_gradient,bottom_left,-0.016278550028800964,-0.0048809051513671875,0.0,bright,False
44260,evaluation,smooth_gradient,bottom_right,-0.0581325888633728,-0.03678993880748749,0.05161653086543083,bright,False
46872,evaluation,clean,full,-0.02630791813135147,0.002488076686859131,0.0036966220941394567,bright,False
46872,evaluation,clean,top_left,-0.027712181210517883,-0.017852917313575745,0.003264687256887555,bright,False
46872,evaluation,clean,top_right,-0.028636112809181213,0.0035941749811172485,0.0025047711096704006,bright,False
46872,evaluation,clean,bottom_left,0.007184833288192749,0.012365788221359253,0.00813378021121025,bright,False
46872,evaluation,clean,bottom_right,-0.020696282386779785,0.01447094976902008,0.0008985368767753243,bright,False
46872,evaluation,homogeneous_dark,full,-0.002048984169960022,0.004777267575263977,0.0028023424092680216,bright,False
46872,evaluation,homogeneous_dark,top_left,-0.005295053124427795,-0.01841801404953003,0.001995529979467392,dark,False
46872,evaluation,homogeneous_dark,top_right,0.016980215907096863,0.004478171467781067,0.0004452926223166287,dark,False
46872,evaluation,homogeneous_dark,bottom_left,0.03309120237827301,0.0047609806060791016,0.008117816410958767,dark,True
46872,evaluation,homogeneous_dark,bottom_right,0.007969915866851807,0.009431183338165283,0.0006679389625787735,bright,False
46872,evaluation,homogeneous_bright,full,-0.03279940038919449,0.013298124074935913,0.15935906767845154,bright,False
46872,evaluation,homogeneous_bright,top_left,-0.039096400141716,-0.009946882724761963,0.10614623129367828,bright,False
46872,evaluation,homogeneous_bright,top_right,-0.043591782450675964,0.00648854672908783,0.23996500670909882,bright,False
46872,evaluation,homogeneous_bright,bottom_left,-0.0006040036678314209,0.01866289973258972,0.07792943716049194,bright,False
46872,evaluation,homogeneous_bright,bottom_right,-0.04441310465335846,0.01916283369064331,0.2128816843032837,bright,False
46872,evaluation,left_right,full,-0.021312370896339417,-0.0021891742944717407,0.11595164239406586,bright,False
46872,evaluation,left_right,top_left,-0.005295053124427795,-0.01841801404953003,0.001995529979467392,dark,False
46872,evaluation,left_right,top_right,-0.043591782450675964,0.00648854672908783,0.23996500670909882,bright,False
46872,evaluation,left_right,bottom_left,0.03309120237827301,0.0047609806060791016,0.008117816410958767,dark,True
46872,evaluation,left_right,bottom_right,-0.04441310465335846,0.01916283369064331,0.2128816843032837,bright,False
46872,evaluation,quadrants,full,-0.02321542799472809,-0.00797116756439209,0.08021630346775055,bright,False
46872,evaluation,quadrants,top_left,-0.005295053124427795,-0.01841801404953003,0.001995529979467392,dark,False
46872,evaluation,quadrants,top_right,-0.043591782450675964,0.00648854672908783,0.23996500670909882,bright,False
46872,evaluation,quadrants,bottom_left,-0.0006040036678314209,0.01866289973258972,0.07792943716049194,bright,False
46872,evaluation,quadrants,bottom_right,0.007969915866851807,0.009431183338165283,0.0006679389625787735,bright,False
46872,evaluation,smooth_gradient,full,-0.0236797034740448,0.0029408037662506104,0.06580226123332977,bright,False
46872,evaluation,smooth_gradient,top_left,-0.015803739428520203,-0.021326273679733276,0.001995529979467392,dark,False
46872,evaluation,smooth_gradient,top_right,-0.042154520750045776,0.0074780285358428955,0.1640823781490326,bright,False
