image_id,condition,method_a,method_b,mse_a_minus_b
872,smooth_gradient,global_direct,global_ttt,-0.03563649021089077
872,smooth_gradient,global_direct,spatial2_ttt,0.00253215990960598
872,smooth_gradient,spatial2_direct,global_discrete,-0.048158273100852966
872,smooth_gradient,spatial2_direct,spatial2_discrete,-0.0438225157558918
872,smooth_gradient,spatial2_direct,global_ttt,-0.03991284221410751
872,smooth_gradient,spatial2_direct,spatial2_ttt,-0.0017441920936107635
872,smooth_gradient,global_discrete,spatial2_discrete,0.004335757344961166
872,smooth_gradient,global_discrete,global_ttt,0.008245430886745453
872,smooth_gradient,global_discrete,spatial2_ttt,0.0464140810072422
872,smooth_gradient,spatial2_discrete,global_ttt,0.0039096735417842865
872,smooth_gradient,spatial2_discrete,spatial2_ttt,0.042078323662281036
872,smooth_gradient,global_ttt,spatial2_ttt,0.03816865012049675
885,clean,identity,global_direct,0.0
885,clean,identity,spatial2_direct,0.0
885,clean,identity,global_discrete,0.0
885,clean,identity,spatial2_discrete,0.0
885,clean,identity,global_ttt,0.0
885,clean,identity,spatial2_ttt,0.0
885,clean,global_direct,spatial2_direct,0.0
885,clean,global_direct,global_discrete,0.0
885,clean,global_direct,spatial2_discrete,0.0
885,clean,global_direct,global_ttt,0.0
885,clean,global_direct,spatial2_ttt,0.0
885,clean,spatial2_direct,global_discrete,0.0
885,clean,spatial2_direct,spatial2_discrete,0.0
885,clean,spatial2_direct,global_ttt,0.0
885,clean,spatial2_direct,spatial2_ttt,0.0
885,clean,global_discrete,spatial2_discrete,0.0
885,clean,global_discrete,global_ttt,0.0
885,clean,global_discrete,spatial2_ttt,0.0
885,clean,spatial2_discrete,global_ttt,0.0
885,clean,spatial2_discrete,spatial2_ttt,0.0
885,clean,global_ttt,spatial2_ttt,0.0
885,homogeneous_bright,identity,global_direct,0.0
885,homogeneous_bright,identity,spatial2_direct,0.0
885,homogeneous_bright,identity,global_discrete,0.0
885,homogeneous_bright,identity,spatial2_discrete,0.0
885,homogeneous_bright,identity,global_ttt,0.0
885,homogeneous_bright,identity,spatial2_ttt,0.0
885,homogeneous_bright,global_direct,spatial2_direct,0.0
885,homogeneous_bright,global_direct,global_discrete,0.0
885,homogeneous_bright,global_direct,spatial2_discrete,0.0
885,homogeneous_bright,global_direct,global_ttt,0.0
885,homogeneous_bright,global_direct,spatial2_ttt,0.0
885,homogeneous_bright,spatial2_direct,global_discrete,0.0
885,homogeneous_bright,spatial2_direct,spatial2_discrete,0.0
885,homogeneous_bright,spatial2_direct,global_ttt,0.0
885,homogeneous_bright,spatial2_direct,spatial2_ttt,0.0
885,homogeneous_bright,global_discrete,spatial2_discrete,0.0
885,homogeneous_bright,global_discrete,global_ttt,0.0
885,homogeneous_bright,global_discrete,spatial2_ttt,0.0
885,homogeneous_bright,spatial2_discrete,global_ttt,0.0
885,homogeneous_bright,spatial2_discrete,spatial2_ttt,0.0
885,homogeneous_bright,global_ttt,spatial2_ttt,0.0
885,homogeneous_dark,identity,global_direct,0.017229298129677773
885,homogeneous_dark,identity,spatial2_direct,0.014103349298238754
885,homogeneous_dark,identity,global_discrete,0.039038418675772846
885,homogeneous_dark,identity,spatial2_discrete,0.027996791526675224
885,homogeneous_dark,identity,global_ttt,0.03664242918603122
885,homogeneous_dark,identity,spatial2_ttt,0.031416116282343864
885,homogeneous_dark,global_direct,spatial2_direct,-0.0031259488314390182
885,homogeneous_dark,global_direct,global_discrete,0.021809120546095073
885,homogeneous_dark,global_direct,spatial2_discrete,0.010767493396997452
885,homogeneous_dark,global_direct,global_ttt,0.01941313105635345
885,homogeneous_dark,global_direct,spatial2_ttt,0.014186818152666092
885,homogeneous_dark,spatial2_direct,global_discrete,0.02493506937753409
885,homogeneous_dark,spatial2_direct,spatial2_discrete,0.01389344222843647
885,homogeneous_dark,spatial2_direct,global_ttt,0.022539079887792468
885,homogeneous_dark,spatial2_direct,spatial2_ttt,0.01731276698410511
885,homogeneous_dark,global_discrete,spatial2_discrete,-0.011041627149097621
885,homogeneous_dark,global_discrete,global_ttt,-0.0023959894897416234
885,homogeneous_dark,global_discrete,spatial2_ttt,-0.007622302393428981
885,homogeneous_dark,spatial2_discrete,global_ttt,0.008645637659355998
885,homogeneous_dark,spatial2_discrete,spatial2_ttt,0.00341932475566864
885,homogeneous_dark,global_ttt,spatial2_ttt,-0.005226312903687358
885,left_right,identity,global_direct,-0.006917014718055725
885,left_right,identity,spatial2_direct,0.0008188076317310333
885,left_right,identity,global_discrete,-0.05131909251213074
885,left_right,identity,spatial2_discrete,0.0009898729622364044
885,left_right,identity,global_ttt,-0.025342844426631927
885,left_right,identity,spatial2_ttt,-0.008326057344675064
885,left_right,global_direct,spatial2_direct,0.007735822349786758
885,left_right,global_direct,global_discrete,-0.04440207779407501
885,left_right,global_direct,spatial2_discrete,0.00790688768029213
885,left_right,global_direct,global_ttt,-0.018425829708576202
